Trace,Search,Category,State,Event start,End,baseline pa,peak amp,time to peak,time of peak,antipeak a,time to antipeak,time of antipeak,half width,half amplitude,time to rise,time to decay,rise tau,decay tau,max rise slope,time to max rise slope,max decay,time to max decay slope,rise slope 10% to 90%,decay slope 90% to 10%,decay time,area pH,area pA,instant freq,interevent interval,sd of fit,template
3,1,1,A,4669,4671.599609,1.991999984,-60.58575058,1.599609375,4670.599609,-12.36797619,0,4669,2.141867876,-30.29287529,0.281743884,2.423611641,2.267708063,1.48408854,-67.40196228,0.049804688,48.54368973,0.550292969,Not found,Not found,Not found,Not found,-106.0622635,19.6078434,51,N/A,N/A
3,1,1,A,4735,4736.300781,1.991999984,-38.00274277,0.5,4735.5,-16.03008652,0,4735,Not found,-19.00137138,Not found,Not found,0.252663583,1.432834864,-73.52941132,0.049804688,24.50980377,0.450195313,Not found,Not found,Not found,Not found,-40.14804459,15.40822792,64.90039063,N/A,N/A
3,1,1,A,4864.799805,4867.500977,1.991999984,-55.09258652,1.400390625,4866.200195,-22.13360214,0,4864.799805,2.25770402,-27.54629326,0.246716723,2.504420519,11.29175377,2.441123009,-36.40776825,1.050292969,36.76470566,0.349609375,Not found,Not found,Not found,Not found,-107.1514893,7.65108633,130.7003937,N/A,N/A
3,1,1,A,4901,4902.399414,1.991999984,-35.56133652,0.700195313,4901.700195,-17.8611412,0,4901,Not found,-17.78066826,Not found,Not found,0.2424611,0.779346406,-61.27450943,0.049804688,18.38235283,0.349609375,Not found,Not found,Not found,Not found,-42.44737244,28.16916847,35.49980545,N/A,N/A
3,1,1,A,4954.200195,4956.300781,1.991999984,-42.88555527,0.700195313,4954.900391,-17.25078964,0,4954.200195,Not found,-21.44277763,Not found,Not found,0.450094789,0.551660299,-55.14706039,0.049804688,30.3398056,1.249511719,Not found,Not found,Not found,Not found,-73.96292877,18.79692268,53.20019913,N/A,N/A
4,1,1,A,100.5,102.6991119,1.991999984,-59.97539902,0.799804688,101.2998047,-17.8611412,0,100.5,1.740884542,-29.98769951,0.237496376,1.978380919,1.136322856,2.865167379,-84.95145416,0.350097656,30.63725471,0.75,Not found,Not found,Not found,Not found,-93.10652924,N/A,Not found,N/A,N/A
4,1,1,A,238.8000031,240.5996094,1.991999984,-46.54766464,0.700195313,239.5001984,-14.80938244,0,238.8000031,Not found,-23.27383232,0.132329822,Not found,0.641822398,1.777725935,-66.74757385,0.050292969,36.76470566,0.549804688,Not found,Not found,Not found,Not found,-63.63510132,7.235869408,138.2003937,N/A,N/A
4,1,1,A,286.7999878,289.0010986,1.991999984,-65.46855927,0.700195313,287.5001831,-4.433406353,0,286.7999878,1.529914498,-32.73427963,0.26072228,1.790636778,0.674271941,5.067753792,-134.8039246,0.25,48.54368973,0.649902344,-118.3982162,0.461743772,Not found,Not found,-93.76487732,20.83333397,48,N/A,N/A
4,1,1,A,294,296.0996094,1.991999984,-47.1580162,0.599609375,294.5996094,-11.14727306,0,294,Not found,-23.5790081,0.127070308,Not found,0.307483673,2.256009817,-98.03921509,0.049804688,24.50980377,0.350585938,Not found,Not found,Not found,Not found,-73.38877869,140.8566895,7.099413872,N/A,N/A
4,1,1,A,418.7001953,420.3995972,1.991999984,-53.87188339,0.700195313,419.4003906,-11.75762463,0,418.7001953,1.372595668,-26.9359417,0.212601021,1.585196614,0.703708351,2.318866253,-91.91176605,0.25,36.76470566,0.349609375,Not found,Not found,Not found,Not found,-64.76927948,8.012769699,124.8007889,N/A,N/A
4,1,1,A,477.0994873,478.3995972,1.991999984,-41.05450058,0.5,477.5994873,-14.80938244,0,477.0994873,Not found,-20.52725029,Not found,Not found,0.313750982,0.601742089,-78.88349152,0.050292969,30.63725471,0.450195313,Not found,Not found,Not found,Not found,-42.49392319,17.18239403,58.19910431,N/A,N/A
